Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Arah angin saat kecepatan maksimum (°),Kecepatan angin rata-rata (m/s),Arah angin terbanyak (°)
20-05-2024,27.4,34.4,30.6,68.0,-,6.5,2.0,110.0,1.0,C 
21-05-2024,27.4,33,30.5,70.0,0,3.4,6.0,310.0,1.0,C 
22-05-2024,28,33.8,30.6,72.0,0,5.2,5.0,360.0,2.0,C 
23-05-2024,28,32,28.9,81.0,-,3.2,5.0,360.0,1.0,C 
24-05-2024,26,33.4,29.3,78.0,8888,0.0,3.0,360.0,1.0,C 
25-05-2024,26.6,33,27.2,86.0,3.5,4.0,3.0,110.0,1.0,C 
26-05-2024,26.4,33,29.5,77.0,2.1,0.0,4.0,350.0,1.0,C 
27-05-2024,26.8,35.6,31.0,70.0,-,0.4,4.0,350.0,1.0,C 
28-05-2024,27,34,30.7,74.0,-,6.0,9.0,360.0,2.0,C 
29-05-2024,28,34.2,30.8,73.0,0,6.4,3.0,360.0,1.0,C 
30-05-2024,28,33.4,30.6,74.0,0,4.4,2.0,130.0,1.0,C 
31-05-2024,28,34.6,30.8,74.0,-,5.2,4.0,340.0,1.0,C 
01-06-2024,26.6,33,29.7,76.0,-,2.8,3.0,130.0,1.0,C 
02-06-2024,-,33.6,29.7,78.0,-,1.0,3.0,350.0,0.0,C 
03-06-2024,-,33.8,28.8,82.0,1.5,1.5,2.0,320.0,0.0,C 
04-06-2024,27.2,33.4,29.6,78.0,-,0.4,3.0,280.0,1.0,C 
05-06-2024,27,33.4,30,72.0,-,3.0,3.0,320.0,1.0,C 
06-06-2024,26.6,35.6,30.7,68.0,-,6.0,4.0,310.0,1.0,C 
07-06-2024,27,33.2,29.9,73.0,-,6.6,8.0,360.0,2.0,C 
08-06-2024,27.2,33.8,30.5,72.0,-,6.0,4.0,80.0,2.0,E 
09-06-2024,27.6,33.4,29.6,75.0,0,6.8,5.0,310.0,1.0,C 
10-06-2024,27,34,30.7,73.0,0,3.6,6.0,360.0,1.0,C 
11-06-2024,27,33.4,28.4,85.0,-,4.2,3.0,310.0,1.0,C 
12-06-2024,26,32.2,28.9,79.0,12.9,3.2,3.0,360.0,0.0,C 
13-06-2024,26,32.6,29,78.0,0,3.0,3.0,360.0,1.0,C 
14-06-2024,-,33.6,29.7,75.0,8888,1.0,7.0,360.0,2.0,C 
15-06-2024,26,33.2,28.9,78.0,-,6.8,5.0,340.0,2.0,NW
16-06-2024,24.2,30.4,28.2,82.0,65.6,3.0,3.0,310.0,1.0,C 
17-06-2024,25,32.4,29.7,75.0,0,1.7,5.0,320.0,2.0,C 
18-06-2024,27.2,32.6,29.3,77.0,0,6.7,8.0,360.0,2.0,C 
19-06-2024,26,33.8,29.8,71.0,-,0.5,3.0,360.0,1.0,C 
20-06-2024,25.8,33.6,29.7,66.0,-,7.0,5.0,360.0,1.0,C 
21-06-2024,-,34.2,29.8,70.0,-,7.0,3.0,320.0,1.0,C 
22-06-2024,27,33.4,29.2,72.0,0,6.7,5.0,360.0,1.0,C 
23-06-2024,-,34.4,30.2,62.0,-,0.8,3.0,70.0,1.0,C 
24-06-2024,26.4,33.4,29.9,72.0,-,7.0,4.0,70.0,1.0,C 
25-06-2024,27.2,32.4,27.3,83.0,0,3.8,3.0,30.0,1.0,C 
26-06-2024,25.4,34.4,29.8,75.0,24,2.0,4.0,350.0,1.0,C 
27-06-2024,26,33.2,29.7,77.0,-,7.0,3.0,20.0,1.0,C 
28-06-2024,27.4,33.4,29.6,78.0,2.5,5.5,5.0,300.0,1.0,C 
29-06-2024,-,-,-,82.0,-,6.5,4.0,320.0,1.0,C 
30-06-2024,25.4,33,29.4,76.0,3,0.6,7.0,330.0,2.0,C 
01-07-2024,26,32.0,29,77,-,6,4.0,310.0,1.0,C 
02-07-2024,25.6,30.8,28.5,81,0.6,2.5,4.0,310.0,0.0,C 
03-07-2024,26.6,32.4,28.1,79,0,1.3,6.0,360.0,1.0,C 
04-07-2024,25.6,32.6,27.1,84,2.5,5.8,5.0,360.0,1.0,C 
05-07-2024,24.6,32.2,27,84,14.5,1.6,4.0,140.0,1.0,C 
06-07-2024,24.6,28.4,24.8,92,15.3,4.2,3.0,120.0,0.0,C 
07-07-2024,23.6,30.4,27.4,81,49.3,0.5,3.0,140.0,0.0,C 
08-07-2024,-,33.6,-,-,-,-,4.0,360.0,1.0,C
09-07-2024,24.8,31.6,28.1,83,54,7,5.0,310.0,1.0,C
10-07-2024,25,33.2,28.7,76,1.6,2,4.0,360.0,1.0,C
11-07-2024,26.2,33.2,28.6,76,0,5.3,3.0,310.0,1.0,C
12-07-2024,26,33.4,28.8,67,0,6.8,7.0,360.0,2.0,C
13-07-2024,24,32.8,28.3,67,0,5.5,3.0,10.0,1.0,C
14-07-2024,25,32.0,28,66,0,6.5,3.0,80.0,1.0,C
15-07-2024,24.2,32.8,27.4,68,0,7,4.0,330.0,1.0,C
16-07-2024,24.2,34.6,28.6,66,0,7,5.0,350.0,1.0,C
17-07-2024,24,33.2,28.5,72,0,7,4.0,50.0,2.0,E
18-07-2024,26,33.0,29.5,69,0,6.5,4.0,360.0,2.0,C
19-07-2024,26.6,33.4,29.2,69,0,4.8,4.0,50.0,1.0,C
20-07-2024,25.6,33.4,28.6,67,0,4.4,4.0,360.0,2.0,C
21-07-2024,26,34.4,29.4,67,0,7,5.0,350.0,1.0,C
22-07-2024,25,33.6,28.7,73,0,6,4.0,360.0,1.0,C
23-07-2024,26.6,32.6,28.9,66,0,6.6,5.0,320.0,2.0,C
24-07-2024,26.8,32.6,29,70,0,6.4,4.0,300.0,1.0,C
25-07-2024,25,32.0,28.4,72,0,3.2,3.0,310.0,1.0,C
26-07-2024,26.2,33.2,28.9,71,0,3.6,4.0,360.0,1.0,C
27-07-2024,26.4,34.4,29.5,69,0,4.2,5.0,360.0,1.0,C
28-07-2024,25,32.4,29,72,0,6.5,3.0,330.0,1.0,C
29-07-2024,26.4,34.0,29.3,68,0,6.2,3.0,70.0,1.0,C
